DIVISION_ID,PROVINCE_ID,DIVISION_NAME,DIVISION_NAME_URDU,DIVISION_GPS,CREATION_DATE_TIME_STAMP,CREATION_USER_ID,INTERFACE_SOURCE,UPDATE_DATE_TIME_STAMP,UPDATE_USER_ID,RECORD_ACTIVE_STATUS,URL_USED,REMARKS_REASON_OF_NON_ACTIVE,division_latitude,division_longitude
1,1,Muzaffarabad Division,,,,,,,,1,,,,
2,1,Poonch Division,,,,,,,,1,,,,
3,1,Mirpur Division,,,,,,,,1,,,,
4,2,Quetta Division,,,,,,,,1,,,,
5,2,Pishin Division,,,,,,,,1,,,,
6,2,Khuzdar Division,,,,,,,,1,,,,
7,2,Lasbela Division,,,,,,,,1,,,,
8,2,Makran Division,,,,,,,,1,,,,
9,2,Naseerabad Division,,,,,,,,1,,,,
10,2,Sibi Division,,,,,,,,1,,,,
11,2,Rakhshan Division,,,,,,,,1,,,,
12,2,Zhob Division,,,,,,,,1,,,,
13,2,Loralai Division,,,,,,,,1,,,,
14,2,Koh-e-Sulaiman Division,,,,,,,,1,,,,
15,3,DISPUTED TERRITORY,,,,,,,,1,,,,
16,4,FATA,,,,,,,,1,,,,
17,5,FEDERAL CAPITAL TERRITORY,,,,,,,,1,,,,
18,6,Gilgit Division,,,,,,,,1,,,,
19,6,Baltistan Division,,,,,,,,1,,,,
20,6,Diamer Division,,,,,,,,1,,,,
21,7,Peshawar Division,,,,,,,,1,,,,
22,7,Mardan Division,,,,,,,,1,,,,
23,7,Hazara Division,,,,,,,,1,,,,
24,7,Malakand Division,,,,,,,,1,,,,
25,7,Kohat Division,,,,,,,,1,,,,
26,7,Bannu Division,,,,,,,,1,,,,
27,7,Dera Ismail Khan Division,,,,,,,,1,,,,
28,8,Lahore Division,,,,,,,,1,,,,
29,8,Gujrat Division,,,,,,,,1,,,,
30,8,Gujranwala Division,,,,,,,,1,,,,
31,8,Faisalabad Division,,,,,,,,1,,,,
97,30,GUJRANWALA,,,,,,,,,1,,[NULL],74.18937379,32.14663319
98,29,GUJRAT,,,,,,,,,1,,[NULL],73.89859036,32.75021899
99,29,HAFIZABAD,,,,,,,,,1,,[NULL],73.37878143,31.9503764
100,31,JHANG,,,,,,,,,1,,[NULL],72.01034564,31.26711801
101,32,JHELUM,,,,,,,,,1,,[NULL],73.54883918,32.84138611
102,28,KASUR,,,,,,,,,1,,[NULL],74.38488366,31.08519594
103,35,KHANEWAL,,,,,,,,,1,,[NULL],71.89429561,30.51132006
104,33,KHUSHAB,,,,,,,,,1,,[NULL],71.95031495,31.86784669
105,28,LAHORE,,,,,,,,,1,,[NULL],74.21048591,31.42199354
106,37,LAYYAH,,,,,,,,,1,,[NULL],71.5321438,30.92705228
107,35,LODHRAN,,,,,,,,,1,,[NULL],71.89153728,29.6426115
108,29,MANDI BAHAUDDIN,,,,,,,,,1,,[NULL],73.51503846,32.5483521
109,33,MIANWALI,,,,,,,,,1,,[NULL],71.66941864,32.67199304
110,35,MULTAN,,,,,,,,,1,,[NULL],71.54951156,30.14417488
111,37,MUZAFFARGARH,,,,,,,,,1,,[NULL],73.7557779,31.34962913
112,28,NANKANA SAHIB,,,,,,,,,1,,[NULL],73.43438084,31.72030491
113,30,NAROWAL,,,,,,,,,1,,[NULL],75.16054967,32.21957783
114,34,OKARA,,,,,,,,,1,,[NULL],73.66241512,30.93112554
115,34,PAK PATTAN,,,,,,,,,1,,[NULL],73.07905122,30.27431316
116,36,RAHIM YAR KHAN,,,,,,,,,1,,[NULL],70.8671307,28.45033325
117,37,RAJANPUR,,,,,,,,,1,,[NULL],69.76738089,29.22006742
118,32,RAWALPINDI,,,,,,,,,1,,[NULL],73.45059741,33.4389079
119,34,SAHIWAL,,,,,,,,,1,,[NULL],72.65912822,30.43568938
120,33,SARGODHA,,,,,,,,,1,,[NULL],72.93727888,32.34452407
121,28,SHEIKHUPURA,,,,,,,,,1,,[NULL],74.40898932,31.85704982
122,30,SIALKOT,,,,,,,,,1,,[NULL],74.55479342,32.58265699
123,31,TOBA TEK SINGH,,,,,,,,,1,,[NULL],72.68502794,31.14476442
124,35,VEHARI,,,,,,,,,1,,[NULL],72.41312785,30.02080654
125,38,BADIN,,,,,,,,,1,,[NULL],68.84113532,25.10502611
126,38,DADU,,,,,,,,,1,,[NULL],67.41749765,27.11389198
